Timestamp: 1764267470.04, FPS: 54.06
Timestamp: 1764267476.23, FPS: 49.61
Timestamp: 1764267481.54, FPS: 56.52
Timestamp: 1764267486.89, FPS: 53.79
Timestamp: 1764267492.47, FPS: 55.20
Timestamp: 1764267497.97, FPS: 57.23
Timestamp: 1764267503.53, FPS: 52.40
Timestamp: 1764267509.36, FPS: 52.78
Timestamp: 1764267515.59, FPS: 50.16
Timestamp: 1764267521.09, FPS: 54.05
Timestamp: 1764267526.91, FPS: 53.47
Timestamp: 1764267532.78, FPS: 51.08
Timestamp: 1764267538.19, FPS: 56.06
Timestamp: 1764267543.59, FPS: 58.25
Timestamp: 1764267549.21, FPS: 53.97
Timestamp: 1764267554.97, FPS: 54.59
Timestamp: 1764267560.80, FPS: 53.61
Timestamp: 1764267566.36, FPS: 53.10
Timestamp: 1764267572.17, FPS: 53.27
Timestamp: 1764267577.34, FPS: 58.08
Timestamp: 1764267582.56, FPS: 57.61
Timestamp: 1764267588.23, FPS: 53.46
Timestamp: 1764267594.16, FPS: 51.16
Timestamp: 1764267600.02, FPS: 51.51
Timestamp: 1764267605.70, FPS: 54.58
Timestamp: 1764267610.96, FPS: 57.92
Timestamp: 1764267616.52, FPS: 53.40
Timestamp: 1764267622.28, FPS: 52.93
Timestamp: 1764267628.00, FPS: 51.80
Timestamp: 1764267633.94, FPS: 51.48
Timestamp: 1764267639.46, FPS: 54.45
Timestamp: 1764267644.83, FPS: 57.27
Timestamp: 1764267650.33, FPS: 54.54
Timestamp: 1764267656.09, FPS: 54.68
Timestamp: 1764267661.77, FPS: 56.69
Timestamp: 1764267667.15, FPS: 56.42
Timestamp: 1764267673.36, FPS: 49.11
Timestamp: 1764267678.85, FPS: 54.08
Timestamp: 1764267685.06, FPS: 48.97
Timestamp: 1764267690.56, FPS: 56.16
Timestamp: 1764267696.75, FPS: 49.00
Timestamp: 1764267702.46, FPS: 53.99
Timestamp: 1764267708.30, FPS: 53.68
Timestamp: 1764267713.72, FPS: 56.00
Timestamp: 1764267719.23, FPS: 54.93
Timestamp: 1764267724.87, FPS: 54.35
Timestamp: 1764267730.38, FPS: 54.11
Timestamp: 1764267736.17, FPS: 54.60
Timestamp: 1764267742.28, FPS: 50.29
Timestamp: 1764267748.26, FPS: 50.09
Timestamp: 1764267753.92, FPS: 51.96
Timestamp: 1764267760.29, FPS: 48.59
Timestamp: 1764267767.06, FPS: 42.93
Timestamp: 1764267772.69, FPS: 55.42
Timestamp: 1764267778.20, FPS: 54.54
Timestamp: 1764267784.11, FPS: 51.40
Timestamp: 1764267789.42, FPS: 56.97
Timestamp: 1764267795.18, FPS: 55.97
Timestamp: 1764267800.66, FPS: 54.03
Timestamp: 1764267806.60, FPS: 54.98
Timestamp: 1764267812.81, FPS: 50.99
Timestamp: 1764267818.69, FPS: 53.39
Timestamp: 1764267824.77, FPS: 51.88
Timestamp: 1764267830.48, FPS: 54.00
Timestamp: 1764267836.78, FPS: 46.98
Timestamp: 1764267842.68, FPS: 52.38
Timestamp: 1764267849.12, FPS: 47.87
Timestamp: 1764267855.11, FPS: 51.25
Timestamp: 1764267861.02, FPS: 51.89
Timestamp: 1764267867.26, FPS: 50.64
Timestamp: 1764267872.72, FPS: 53.62
Timestamp: 1764267878.39, FPS: 54.09
Timestamp: 1764267883.78, FPS: 57.84
Timestamp: 1764267889.38, FPS: 53.76
Timestamp: 1764267894.90, FPS: 55.47
Timestamp: 1764267900.27, FPS: 55.93
Timestamp: 1764267905.54, FPS: 57.75
Timestamp: 1764267911.16, FPS: 55.93
Timestamp: 1764267917.05, FPS: 52.71
Timestamp: 1764267922.42, FPS: 56.27
Timestamp: 1764267928.44, FPS: 50.73
Timestamp: 1764267934.03, FPS: 54.60
Timestamp: 1764267939.85, FPS: 54.15
Timestamp: 1764267945.66, FPS: 52.17
Timestamp: 1764267951.38, FPS: 54.87
Timestamp: 1764271718.01, FPS: 52.89
Timestamp: 1764271724.39, FPS: 47.66
Timestamp: 1764271730.30, FPS: 50.44
Timestamp: 1764271737.11, FPS: 46.26
Timestamp: 1764271743.40, FPS: 50.23
Timestamp: 1764271748.85, FPS: 55.54
Timestamp: 1764271755.54, FPS: 45.70
Timestamp: 1764271761.39, FPS: 53.13
Timestamp: 1764271767.71, FPS: 48.71
Timestamp: 1764271772.86, FPS: 59.20
Timestamp: 1764271778.96, FPS: 50.44
Timestamp: 1764271785.00, FPS: 51.23
Timestamp: 1764271791.18, FPS: 51.93
Timestamp: 1764271796.77, FPS: 53.48
Timestamp: 1764271802.60, FPS: 51.51
Timestamp: 1764271808.35, FPS: 51.64
Timestamp: 1764271814.63, FPS: 51.13
Timestamp: 1764271820.35, FPS: 50.43
Timestamp: 1764271827.38, FPS: 43.81
Timestamp: 1764271834.12, FPS: 44.55
Timestamp: 1764271839.16, FPS: 61.07
Timestamp: 1764271844.94, FPS: 53.17
Timestamp: 1764273614.25, FPS: 40.72
Timestamp: 1764273625.20, FPS: 36.64
Timestamp: 1764273635.91, FPS: 37.59
Timestamp: 1764273646.30, FPS: 40.48
Timestamp: 1764275385.13, FPS: 44.97
Timestamp: 1764275394.61, FPS: 42.80
Timestamp: 1764275404.16, FPS: 41.22
Timestamp: 1764275413.72, FPS: 43.62
Timestamp: 1764275423.60, FPS: 39.74
Timestamp: 1764275433.44, FPS: 38.86
Timestamp: 1764275443.42, FPS: 39.45
Timestamp: 1764275453.02, FPS: 41.79
Timestamp: 1764275462.78, FPS: 40.28
Timestamp: 1764275472.80, FPS: 40.48
Timestamp: 1764275482.57, FPS: 39.72
Timestamp: 1764275492.66, FPS: 39.11
Timestamp: 1764275502.60, FPS: 39.53
Timestamp: 1764275511.39, FPS: 46.71
Timestamp: 1764275521.27, FPS: 42.45
